"Counties","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,"1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015","2016","2016","2016","2016","2017","2017","2017","2017","2018","2018","2018","2018","2019","2019","2019","2019","2020","2020","2020","2020","2021","2021","2021","2021","2022"
NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1"
"Los Angeles","-999","51749","647334","1351","320445","-999","-999","60598","342459","31522","-999","1000890","62545","1435665","3414668","4518495","-999","6259","929285","639648","3587301","3230985","672629","620888","1944982","2006539","2207572","531536","20925","385827","535096","30781","104722","137719","255147","5950","167398","198860","202734","26833","50420","598565","2246936","200268","1036645","-999","943539","212725","53436","36432","-999","676001","647942","252143","36985","2459","2124","93","1297","2727","2303532","-999","2650747","622738","998178","1077710","2234493","678552","1621685","3259951","1525008","1282114","1032517","905488","1667517","658937","43023","380964","5228487","1825978","716746","212853","2922755","461181","1135849","1033008","3906487","1520940","462879","277711","96092","157334","712981","2127771","1883092","1224204","439324","197175","151219","28753","1886093","2025583","142012","12404","89788","54379","2674903","1719950","60612","193340","3776546","2159422","41817","-999","1648040","71293","398843","722063","530520","640223","121014","8383","30335","4760","7175","29142","234017","10352","15","124361","396084","362200","900982","672602","630593","57351","216762","1204839","1451095","17988","13150","5073","160921","164169","2080937","1437294","496739","15369","1961323","5934049","402531","463051","1250190"
"Ventura","-999","1110738","4816737","141879","1917882","-999","352423","487","25736","182418","-999","1099971","342868","1493001","487217","-999","9936","377743","939694","1458","-999","1393203","459773","21526","126396","525419","477143","18926","-999","1377252","581091","29066","50887","287143","544083","17196","157883","152778","115731","67244","138454","4228108","6232953","200167","5956","68524","-999","487742","110361","79388","38743","110629","450890","698664","293852","8846","0","9812","120318","123078","759039","1402930","1254305","124460","16094","169880","207892","2252","4161","59206","393850","654289","104515","1435927","-999","378028","78485","1000716","6096063","798048","1025274","4297526","6949885","259914","1041024","3080385","7957170","2569297","1625902","4530241","1550991","801682","1444749","2520077","941065","6768","49834","548628","-999","295107","111664","406939","514658","2910","48686","208645","4082648","1002947","757","34956","926454","555466","-999","468307","-999","15393","467966","4473264","1129586","5926","10059","565248","841567","9552","79585","784177","1345240","14171","67048","362912","2559890","44205","63302","398313","2820010","192747","274647","2470440","340857","8274","4263","242144","2350177","775349","17404","1080733","1782941","100286","295641","1446212","-999","3898","159152"
"Los Angeles","-999","0","-999","0","-999","-999","-999","11543","13851","-999","-999","104412","46443","57811","-999","126360","-999","2957","-999","-999","-999","-999","-999","143002","163510","-999","41836","9488","0","-999","14088","10161","28439","10844","9153","168","19630","14835","-999","0","93","-999","24082","1101","11798","-999","22143","7269","94415","-999","-999","64409","119687","-999","-999","0","590","333","398","144","82109","-999","78092","176365","163652","-999","64251","65523","125710","-999","16687","51038","115953","-999","-999","104433","36966","-999","134587","127371","86518","89359","258491","34536","44404","43599","86233","65061","87750","147432","1001","15938","55931","-999","16963","103097","113613","145295","-999","35942","123564","53458","27785","14835","37290","36870","118783","168230","44927","74205","144927","170826","29208","-999","28702","21166","73461","77073","28882","71059","35005","156","455","0","23","577","1972","203","704","759","338","12781","35060","41890","23226","3665","6247","104131","37655","74","398","16212","7827","12137","50610","17346","16972","1527","24386","103553","10355","44998","51924"
"Santa Barbara","-999","4793","80523","2501","178254","-999","24030","2079","28601","1800","-999","119073","114749","351363","-999","5715","-999","6019","-999","77049","116631","75599","16875","37635","2705","29187","-999","0","-999","1089","65876","4098","22313","11061","86801","418","17964","2944","22747","13233","141411","441307","209286","2268","18435","855","22509","42308","9771","24798","8685","17794","26136","3294","753","0","0","232","392","833","5281","-999","93337","29856","636","572","20682","1893","726","529","11895","2049","1481","10197","8370","2187","449","7836","112452","47228","9919","1863","69258","15054","22969","36683","93010","33071","33016","3686","808","7650","4592","3123","33473","7652","87","7811","5994","6044","5511","4181","9443","1361","3770","7406","104532","84145","4729","5686","26117","5022","8227","60353","13549","1757","30459","86489","50275","39008","11753","30021","8513","721","3475","7211","12974","127","1941","34600","68621","44922","91599","123119","160941","7385","7612","116243","34650","4285","506","42873","67274","64135","72338","26781","17810","339","6023","29566","57843","27879","95582"
"Santa Barbara","-999","8395936","-999","2909456","6079435","11162097","2519905","1563902","998836","942510","2227550","1117684","1230938","2471152","2623596","445957","93401","773782","4519956","2478568","3295378","2336514","1921391","1886753","1381555","9697686","5987221","1402194","-999","11526086","9480134","1248390","369163","4435943","1865673","1396448","754100","4993656","4329228","637263","492331","9848877","4453960","1989248","94717","387482","956726","794003","341745","1077716","-999","591656","886711","2098730","1470644","13964","73998","876838","2326241","1421843","2742976","3728904","4861485","638689","156022","452400","1091237","572147","295029","735605","1716587","1388460","1039048","3248734","4520899","1866074","490795","4401389","15782480","6899290","2056429","6872025","16731618","3510798","2162934","9254058","17647206","5733434","1252280","2578735","3488698","3776675","5471405","10629707","8202727","1284467","388315","3139681","10751314","6121925","3030777","2718885","1876374","225855","664490","2304274","8891742","1613215","92423","1212857","5409234","2365336","929563","2483819","2089943","469812","1699070","8617691","6199358","1266041","338601","1285399","1590049","128685","258367","2593761","3778794","114548","863401","3630259","2644477","711408","338092","2226456","3730030","737661","711198","2600575","2188181","75805","125920","389824","951134","446641","576967","1501524","2105822","293273","448466","953062","1023640","318047","326948"
"San Francisco","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Humboldt","-999","2984","17785","0","-999","0","21396","3286","900","526","2283","0","0","1175","24891","-999","-999","36083","1500","-999","-999","51940","507","450","-999","54618","2093","382","-999","49006","135","-999","-999","69107","203","203","66","11172","-999","0","153","7484","15663","1663","225","781","2913","1440","782","431","22682","2938","0","464","10590","600","-999","237","3522","2375","474","1533","9414","7350","801","10138","17139","1888","273","10198","9232","4592","0","0","3330","962","467","1768","11711","114","1630","20374","14049","2112","3586","8360","4137","2951","484","6731","3499","1216","362","16008","6937","817","12717","18561","8986","21452","3716","10492","6811","895","237","8106","10085","1205","4334","4672","11402","868","5578","1513","4053","-999","10508","31085","4209","3531","2345","9149","17748","3234","2997","2578","4940","596","7317","1756","7350","6365","1001","3986","7531","2873","7975","5662","9629","3350","2877","5504","1842","1071","0","10938","9100","38635","3053","14185","11075","1031","1917"
"San Diego","110610","139783","-999","-999","-999","163530","184004","638190","484069","191923","1038111","925029","120875","871107","3093427","-999","-999","369","88624","-999","1012661","301916","759443","5004981","-999","2998863","2287393","-999","-999","483627","306866","-999","19098","15787","161118","179183","77519","42336","1437","73935","6026","2541100","1736110","328123","489520","765070","206325","-999","-999","263748","159387","618141","302213","80484","2572","23160","1204","0","7353","1351","53282","-999","174220","1239020","327919","27048","85325","1362628","1350341","2114532","1193037","1289271","2457466","2410025","2999180","2525511","454866","881718","865836","1038702","170003","357977","184405","449189","459036","459192","308167","291058","207791","286152","14075","154257","191701","688464","233455","1430643","1976862","1505277","1875545","3168747","3293972","2165108","2126133","1232883","820996","1063437","2496038","906640","147326","289542","353347","1370662","572064","236323","37000","364536","1582812","1773367","2841240","3043866","1657223","1631450","1028438","319179","109386","490252","2376387","4395","306","307","668","10428","82008","31563","4171","116687","151911","622933","430321","167785","259686","754151","920033","72394","208698","375738","281830","341980","294160","138789","37488","291837","196901"
